element,1.00,1.25,1.50,1.75,1.90,2.10,2.25,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00
H,-8.1305e-03,-1.4874e-02,-2.1643e-02,-3.8014e-02,-4.9097e-02,-5.4120e-02,-1.0026e-01,-1.4998e-01,-1.6024e-01,-9.4832e-02,-1.6293e-01,-2.6645e-01,-4.2884e-01,-4.3008e-01,-5.5430e-01
He,2.0413e-03,3.6855e-03,4.9493e-03,8.0566e-03,9.9562e-03,1.0414e-02,1.8743e-02,2.7951e-02,2.9515e-02,1.7323e-02,3.2386e-02,5.3981e-02,8.9920e-02,9.5095e-02,1.2585e-01
Li,-3.3436e-11,-7.1658e-11,-1.3913e-10,-1.9021e-10,-2.3030e-10,-2.6280e-10,-2.9761e-10,-3.9969e-10,-6.0115e-10,2.3757e-09,1.0239e-09,-8.3858e-10,-1.0873e-09,-1.2065e-09,-1.3350e-09
Be,2.9278e-12,4.1794e-13,3.2961e-14,2.7563e-14,2.7169e-14,1.1907e-14,8.6652e-15,4.8167e-13,8.4546e-15,1.1355e-10,2.4076e-09,2.5290e-10,5.0242e-12,1.6085e-11,4.2748e-12
B,8.9595e-28,8.0273e-23,3.8679e-27,1.9192e-26,3.5146e-27,5.3616e-28,1.0493e-27,2.1914e-29,3.1906e-30,1.6218e-18,4.2045e-25,8.2437e-26,8.3510e-28,5.6215e-27,1.2401e-27
C,-3.2475e-06,6.0616e-06,1.3918e-04,4.4397e-04,7.1315e-04,9.5897e-04,1.9069e-03,2.8219e-03,3.1404e-03,1.9253e-03,7.3794e-04,3.1779e-04,2.7557e-04,2.6752e-04,1.5699e-04
N,3.5437e-06,8.5304e-06,1.4556e-05,2.1853e-05,2.5524e-05,2.6029e-05,3.2146e-05,4.1633e-05,5.0997e-05,7.5181e-05,1.6403e-03,3.2136e-03,4.6241e-03,3.4019e-03,3.7796e-03
O,-2.9388e-07,-6.0338e-08,1.8091e-06,6.9569e-06,8.6874e-06,1.0082e-05,1.2481e-05,6.0194e-06,4.6187e-07,6.1379e-06,1.2983e-06,-5.4186e-05,-1.7228e-04,-1.9974e-04,-3.6359e-04
F,-1.5095e-11,1.4142e-10,2.4972e-09,1.2659e-08,3.1345e-08,5.4365e-08,2.1071e-07,4.5570e-07,5.9532e-07,1.6554e-07,1.2143e-07,3.2797e-08,1.6007e-08,7.4330e-09,-9.4922e-09
Ne,-7.7783e-09,9.5156e-08,1.5366e-06,6.4639e-06,1.4207e-05,2.3341e-05,8.1191e-05,1.6222e-04,1.6092e-04,4.6431e-05,4.5349e-05,8.0667e-05,1.0681e-04,5.3988e-05,4.1763e-05
Na,7.9745e-09,1.6855e-08,6.1780e-08,1.7053e-07,2.7072e-07,3.4664e-07,1.2101e-06,2.8159e-06,1.9029e-06,7.6455e-07,1.1110e-06,1.8488e-06,2.9643e-06,1.8765e-06,4.7534e-07
Mg,-9.6588e-11,-8.6130e-10,-7.0826e-10,1.4784e-08,5.8058e-08,1.3170e-07,9.3141e-07,3.0347e-06,9.7516e-06,8.9051e-06,1.4836e-05,2.6022e-05,5.0501e-05,2.7492e-05,3.1203e-05
Al,1.8901e-10,1.8639e-09,7.9835e-09,1.8932e-08,2.8697e-08,3.9350e-08,6.6753e-08,1.0926e-07,2.9064e-07,3.5098e-07,3.8222e-07,7.7696e-07,1.7894e-06,1.0885e-06,3.3004e-06
Si,5.7804e-11,5.6221e-11,4.3996e-10,1.5867e-09,3.1709e-09,5.2337e-09,1.8017e-08,4.2793e-08,1.6670e-07,3.5782e-07,6.1576e-07,1.0969e-06,2.0605e-06,1.3247e-06,1.5815e-06
P,9.5167e-13,3.2346e-12,3.2258e-11,1.1810e-10,2.3797e-10,3.7711e-10,1.4258e-09,3.5715e-09,1.3516e-08,2.0097e-08,3.7382e-08,6.7027e-08,1.3747e-07,8.8724e-08,1.1339e-07
S,4.0702e-11,-1.2506e-11,-1.4453e-10,-6.3964e-10,-1.4186e-09,-2.4569e-09,-1.0190e-08,-2.5153e-08,-7.2022e-08,-6.9327e-08,-9.4723e-08,-1.4828e-07,-2.1661e-07,-1.4716e-07,-1.5088e-07
Fe,6.0802e-11,6.4250e-12,-2.2190e-11,-1.3443e-10,-3.6309e-10,-7.1996e-10,-5.8466e-09,-2.0577e-08,-9.9541e-08,-1.1382e-07,-1.6436e-07,-2.7977e-07,-4.3926e-07,-2.9441e-07,-3.0987e-07
Co,1.4259e-13,1.2995e-11,1.5306e-10,5.8464e-10,1.1532e-09,1.8762e-09,6.8814e-09,1.6707e-08,5.1720e-08,4.2631e-08,4.6278e-08,6.5716e-08,7.5080e-08,5.3939e-08,4.8746e-08
Ni,3.1379e-12,-1.0527e-11,-1.3025e-10,-4.5207e-10,-7.8905e-10,-1.1585e-09,-9.6641e-10,3.8725e-09,4.7956e-08,7.1207e-08,1.1809e-07,2.1406e-07,3.6466e-07,2.4123e-07,2.6174e-07
