element,1.00,1.25,1.50,1.75,1.90,2.10,2.25,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00
H,2.8377e-01,4.4020e-01,6.3104e-01,8.0030e-01,8.9401e-01,1.0312e+00,1.0869e+00,1.2190e+00,1.5381e+00,1.9157e+00,2.1934e+00,2.4491e+00,2.6363e+00,2.9891e+00,3.2055e+00
He,2.6184e-02,4.1325e-02,5.8933e-02,7.7394e-02,8.7961e-02,1.0018e-01,1.1693e-01,1.4118e-01,1.6999e-01,1.8361e-01,2.2727e-01,2.7859e-01,3.4344e-01,3.7790e-01,4.3682e-01
Li,7.0486e-11,9.0358e-11,9.3242e-11,1.0825e-10,1.0547e-10,1.2360e-10,1.2503e-10,8.7703e-11,3.4997e-12,3.0915e-09,1.8628e-09,1.2822e-10,3.9914e-12,1.0799e-11,3.5055e-12
Be,2.9278e-12,4.1794e-13,3.2961e-14,2.7563e-14,2.7169e-14,1.1907e-14,8.6652e-15,4.8167e-13,8.4546e-15,1.1355e-10,2.4076e-09,2.5290e-10,5.0242e-12,1.6085e-11,4.2748e-12
B,8.9595e-28,8.0273e-23,3.8679e-27,1.9192e-26,3.5146e-27,5.3616e-28,1.0493e-27,2.1914e-29,3.1906e-30,1.6218e-18,4.2045e-25,8.2437e-26,8.3510e-28,5.6215e-27,1.2401e-27
C,1.6681e-05,3.7131e-05,1.8374e-04,5.0120e-04,7.7754e-04,1.0331e-03,1.9879e-03,2.9154e-03,3.2563e-03,2.0625e-03,8.9881e-04,5.0319e-04,4.8484e-04,5.0096e-04,4.1368e-04
N,9.7220e-06,1.8162e-05,2.8370e-05,3.9596e-05,4.5485e-05,4.9001e-05,5.7272e-05,7.0609e-05,8.6944e-05,1.1773e-04,1.6902e-03,3.2711e-03,4.6890e-03,3.4743e-03,3.8592e-03
O,4.6597e-05,7.3044e-05,1.0666e-04,1.4163e-04,1.6019e-04,1.8443e-04,2.0318e-04,2.2594e-04,2.7329e-04,3.2911e-04,3.7982e-04,3.8205e-04,3.2011e-04,3.4952e-04,2.4039e-04
F,1.6482e-09,2.7346e-09,6.2164e-09,1.7436e-08,3.6719e-08,6.0549e-08,2.1747e-07,4.6350e-07,6.0500e-07,1.7700e-07,1.3486e-07,4.8272e-08,3.3473e-08,2.6917e-08,1.1932e-08
Ne,6.7864e-06,1.0687e-05,1.6728e-05,2.5976e-05,3.6158e-05,4.8603e-05,1.0882e-04,1.9408e-04,2.0045e-04,9.3226e-05,1.0019e-04,1.4387e-04,1.7815e-04,1.3357e-04,1.2927e-04
Na,1.2127e-07,1.9349e-07,3.1511e-07,4.9591e-07,6.3677e-07,7.6789e-07,1.6708e-06,3.3473e-06,2.5621e-06,1.5449e-06,2.0255e-06,2.9028e-06,4.1540e-06,3.2036e-06,1.9346e-06
Mg,2.1184e-06,3.3018e-06,4.7361e-06,6.0989e-06,6.9027e-06,8.0084e-06,9.5469e-06,1.2970e-05,2.2077e-05,2.3496e-05,3.1937e-05,4.5730e-05,7.2746e-05,5.2307e-05,5.8489e-05
Al,1.6802e-07,2.6351e-07,3.8325e-07,5.0093e-07,5.7095e-07,6.6337e-07,7.4930e-07,8.9639e-07,1.2671e-06,1.5069e-06,1.7370e-06,2.3383e-06,3.5517e-06,3.0544e-06,5.4622e-06
Si,1.9742e-06,3.0778e-06,4.4147e-06,5.6713e-06,6.3816e-06,7.3455e-06,8.0468e-06,9.3017e-06,1.1653e-05,1.3955e-05,1.6552e-05,1.9463e-05,2.2791e-05,2.4450e-05,2.7010e-05
P,2.0539e-08,3.2023e-08,4.5956e-08,5.9103e-08,6.6596e-08,7.6742e-08,8.4953e-08,9.9896e-08,1.3301e-07,1.6156e-07,2.0317e-07,2.5810e-07,3.5314e-07,3.2930e-07,3.7793e-07
S,1.4024e-06,2.1863e-06,3.1355e-06,4.0268e-06,4.5295e-06,5.2117e-06,5.6930e-06,6.5519e-06,8.0872e-06,9.5895e-06,1.1225e-05,1.2898e-05,1.4509e-05,1.6279e-05,1.7912e-05
Fe,1.7775e-06,2.7711e-06,3.9743e-06,5.1046e-06,5.7425e-06,6.6081e-06,7.2229e-06,8.3157e-06,1.0242e-05,1.2129e-05,1.4184e-05,1.6256e-05,1.8225e-05,2.0526e-05,2.2584e-05
Co,4.4449e-09,6.9425e-09,1.0092e-08,1.3350e-08,1.5514e-08,1.8403e-08,2.4958e-08,3.7553e-08,7.7581e-08,7.3245e-08,8.2157e-08,1.0707e-07,1.2175e-07,1.0600e-07,1.0600e-07
Ni,9.6654e-08,1.5067e-07,2.1598e-07,2.7712e-07,3.1148e-07,3.5820e-07,3.9210e-07,4.5717e-07,6.1030e-07,7.3690e-07,8.9828e-07,1.1132e-06,1.3796e-06,1.3734e-06,1.5066e-06
