element,1.00,1.25,1.50,1.75,1.90,2.00,2.25,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50
H,-8.1048e-03,-1.2294e-02,-1.2832e-02,-1.1806e-02,-1.0851e-02,-1.0188e-02,-1.5054e-02,-3.0032e-02,-6.9526e-02,-9.3763e-02,-6.3058e-02,-1.0857e-01,-1.8210e-01,-2.7537e-01,-3.5154e-01,-4.1974e-01
He,2.0296e-03,3.0746e-03,3.2022e-03,2.9330e-03,2.6884e-03,2.5181e-03,3.4699e-03,5.9547e-03,1.2973e-02,1.7467e-02,1.2267e-02,2.3641e-02,4.1906e-02,6.2869e-02,8.2834e-02,1.0061e-01
Li,2.2711e-10,-7.2866e-11,1.9611e-10,1.7594e-10,-2.6131e-10,-2.6006e-10,2.0093e-10,2.2033e-10,1.4467e-10,-7.1850e-10,-8.3329e-10,-8.3233e-11,2.3407e-09,5.2461e-10,-7.4596e-11,3.0433e-10
Be,5.8201e-13,8.3935e-14,6.2127e-14,4.5245e-14,4.8385e-14,4.0992e-14,3.6025e-14,9.9806e-15,3.9933e-15,3.9489e-15,4.8696e-13,2.6395e-10,4.9960e-09,2.5445e-09,1.8596e-09,2.3926e-09
B,3.3337e-28,1.1843e-27,2.5619e-26,5.1476e-26,3.1872e-26,3.6274e-26,4.6237e-26,7.8258e-27,4.9518e-29,2.5227e-30,5.1189e-28,1.1397e-25,1.4194e-24,6.1476e-25,5.0568e-25,1.2803e-24
C,-1.2680e-05,-3.5574e-05,-6.2518e-05,-8.8831e-05,-1.0001e-04,-1.0765e-04,-4.7850e-05,3.2511e-04,1.1505e-03,1.5686e-03,7.7882e-04,7.2822e-04,4.1836e-04,-4.9266e-04,-7.7894e-04,-8.9639e-04
N,1.2797e-05,3.5897e-05,6.2961e-05,8.9133e-05,1.0038e-04,1.0819e-04,1.3780e-04,1.6219e-04,2.2061e-04,2.8785e-04,3.6221e-04,4.5802e-04,8.4661e-04,2.4260e-03,2.5854e-03,2.6118e-03
O,-1.1637e-07,-2.5976e-07,-4.4162e-07,-3.0184e-07,-3.6872e-07,-5.4244e-07,-1.0512e-05,-2.3754e-05,-6.7947e-05,-1.0397e-04,-1.0314e-04,-1.4500e-04,-2.3022e-04,-3.7586e-04,-5.0328e-04,-6.0416e-04
F,9.7599e-12,6.7090e-11,1.1404e-10,1.3573e-10,8.5852e-11,4.1771e-11,4.7928e-09,3.9989e-08,1.7941e-07,3.0108e-07,1.1863e-07,1.0226e-07,1.0164e-07,1.7049e-08,-4.2804e-08,-6.2755e-08
Ne,-5.4002e-09,-1.0234e-08,-6.8295e-08,-1.8385e-07,-2.8619e-07,-3.5063e-07,2.6884e-06,2.1397e-05,8.2221e-05,1.1834e-04,5.1257e-05,4.4945e-05,3.9767e-05,5.7985e-05,3.9175e-05,2.7334e-05
Na,6.0020e-09,1.6201e-08,6.8423e-08,1.8397e-07,2.8636e-07,3.5061e-07,6.2846e-07,1.0161e-06,2.2149e-06,2.8343e-06,2.3944e-06,2.9102e-06,3.9007e-06,4.8639e-06,5.7091e-06,6.4622e-06
Mg,2.2567e-11,1.8107e-09,-7.1528e-12,1.0986e-10,1.5183e-11,-2.0571e-10,5.4052e-09,9.8948e-08,9.4412e-07,3.1653e-06,3.0030e-06,5.1643e-06,5.6924e-06,1.4540e-05,1.2442e-05,1.2423e-05
Al,1.1120e-11,1.4432e-10,3.0150e-12,1.2484e-11,5.6318e-11,2.1497e-10,1.4236e-08,5.4955e-08,1.5252e-07,2.4099e-07,2.5273e-07,4.4015e-07,5.2809e-07,1.0064e-06,9.2849e-07,8.1067e-07
Si,-3.5659e-11,1.6880e-09,3.5534e-11,3.5692e-11,2.4340e-11,3.6475e-12,5.4493e-09,9.2011e-09,3.8597e-08,9.2570e-08,1.1070e-07,2.3818e-07,3.0232e-07,8.2452e-07,8.3709e-07,8.9310e-07
P,4.9142e-13,1.7779e-11,4.4008e-14,1.1442e-12,1.7603e-13,-1.1735e-13,1.1964e-10,5.6051e-10,2.5814e-09,6.6444e-09,6.9413e-09,1.3952e-08,1.6730e-08,4.5699e-08,4.2966e-08,4.5348e-08
S,1.1503e-10,1.1960e-09,-1.9503e-12,1.4115e-11,1.9902e-11,2.6231e-12,2.9287e-09,-8.9222e-10,-1.4342e-08,-5.5925e-08,-5.1997e-08,-7.8406e-08,-9.0276e-08,-1.8334e-07,-1.6353e-07,-1.4793e-07
Fe,1.9382e-11,1.5277e-09,7.2189e-11,1.1670e-11,5.6322e-11,6.4414e-12,4.1527e-09,2.4475e-09,3.0548e-10,-3.1186e-08,-4.7188e-08,-1.0229e-07,-1.2853e-07,-3.0389e-07,-2.7942e-07,-2.5922e-07
Co,4.0850e-13,3.8037e-12,5.3953e-14,9.2491e-14,1.9269e-13,-1.5415e-14,3.4281e-10,2.6610e-09,1.3439e-08,3.4807e-08,3.3371e-08,5.6369e-08,6.0891e-08,1.2871e-07,1.0360e-07,9.2396e-08
Ni,5.7534e-12,8.2801e-11,-6.1559e-14,2.2747e-12,-1.3539e-12,3.4211e-13,-3.3514e-11,-1.8496e-09,-7.2138e-09,-2.8869e-09,1.5999e-08,5.2624e-08,6.7706e-08,1.9056e-07,1.7586e-07,1.7201e-07
