element,1.00,1.25,1.50,1.75,1.90,2.00,2.25,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50
H,2.9179e-01,4.5269e-01,6.0624e-01,7.6892e-01,8.6274e-01,9.2531e-01,1.0787e+00,1.2336e+00,1.5250e+00,1.8199e+00,2.1436e+00,2.4008e+00,2.6526e+00,2.8889e+00,3.1367e+00,3.3890e+00
He,3.3974e-02,5.2605e-02,6.9145e-02,8.6095e-02,9.5742e-02,1.0217e-01,1.1997e-01,1.4055e-01,1.8282e-01,2.2131e-01,2.4732e-01,2.9094e-01,3.4386e-01,3.9992e-01,4.5439e-01,5.0632e-01
Li,3.4329e-10,1.0727e-10,4.3594e-10,4.7839e-10,7.7123e-11,1.0236e-10,6.2463e-10,7.0986e-10,7.6237e-10,2.2859e-11,2.1584e-11,8.8890e-10,3.4389e-09,1.7504e-09,1.2767e-09,1.7798e-09
Be,5.8201e-13,8.3935e-14,6.2127e-14,4.5245e-14,4.8385e-14,4.0992e-14,3.6025e-14,9.9806e-15,3.9933e-15,3.9489e-15,4.8696e-13,2.6395e-10,4.9960e-09,2.5445e-09,1.8596e-09,2.3926e-09
B,3.3337e-28,1.1843e-27,2.5619e-26,5.1476e-26,3.1872e-26,3.6274e-26,4.6237e-26,7.8258e-27,4.9518e-29,2.5227e-30,5.1189e-28,1.1397e-25,1.4194e-24,6.1476e-25,5.0568e-25,1.2803e-24
C,9.8811e-05,1.3729e-04,1.6763e-04,2.0141e-04,2.2476e-04,2.4014e-04,3.5875e-04,7.9488e-04,1.7432e-03,2.2800e-03,1.5992e-03,1.6611e-03,1.4722e-03,6.8368e-04,5.1785e-04,5.1957e-04
N,4.7361e-05,8.9488e-05,1.3431e-04,1.7911e-04,2.0106e-04,2.1601e-04,2.6385e-04,3.0783e-04,4.0438e-04,5.0840e-04,6.1653e-04,7.4723e-04,1.1733e-03,2.7907e-03,2.9874e-03,3.0508e-03
O,2.6222e-04,4.0648e-04,5.4109e-04,6.8263e-04,7.6379e-04,8.1777e-04,9.4620e-04,1.0816e-03,1.3268e-03,1.5700e-03,1.8271e-03,2.0500e-03,2.2494e-03,2.3920e-03,2.5480e-03,2.7275e-03
F,9.3152e-09,1.4495e-08,1.9323e-08,2.4361e-08,2.7192e-08,2.9069e-08,3.8729e-08,7.9197e-08,2.2888e-07,3.6046e-07,1.8710e-07,1.8012e-07,1.8960e-07,1.1523e-07,6.5431e-08,5.5426e-08
Ne,3.8004e-05,5.8924e-05,7.8395e-05,9.8768e-05,1.1044e-04,1.1822e-04,1.4131e-04,1.8155e-04,2.8431e-04,3.6088e-04,3.3094e-04,3.6299e-04,3.9905e-04,4.5903e-04,4.8128e-04,5.1007e-04
Na,6.3983e-07,9.9895e-07,1.3768e-06,1.8340e-06,2.1327e-06,2.3278e-06,2.9400e-06,3.6867e-06,5.5848e-06,6.8788e-06,7.0582e-06,8.2138e-06,9.8919e-06,1.1552e-05,1.3081e-05,1.4512e-05
Mg,1.1852e-05,1.8378e-05,2.4465e-05,3.0854e-05,3.4523e-05,3.6970e-05,4.3228e-05,5.0036e-05,6.3957e-05,7.8791e-05,9.0209e-05,1.0433e-04,1.1772e-04,1.3959e-04,1.5029e-04,1.6294e-04
Al,9.3893e-07,1.4559e-06,1.9382e-06,2.4443e-06,2.7351e-06,2.9291e-06,3.4384e-06,4.0111e-06,5.1446e-06,6.2323e-06,7.1615e-06,8.2965e-06,9.4031e-06,1.0913e-05,1.1849e-05,1.2735e-05
Si,1.1044e-05,1.7126e-05,2.2799e-05,2.8752e-05,3.2172e-05,3.4452e-05,4.0284e-05,4.6545e-05,5.8760e-05,7.0568e-05,8.1378e-05,9.2652e-05,1.0470e-04,1.1736e-04,1.2930e-04,1.4116e-04
P,1.1490e-07,1.7817e-07,2.3719e-07,2.9912e-07,3.3470e-07,3.5842e-07,4.1916e-07,4.8469e-07,6.1348e-07,7.3983e-07,8.5240e-07,9.7537e-07,1.1028e-06,1.2580e-06,1.3794e-06,1.5046e-06
S,7.8455e-06,1.2165e-05,1.6195e-05,2.0424e-05,2.2853e-05,2.4473e-05,2.8615e-05,3.3056e-05,4.1698e-05,5.0006e-05,5.7676e-05,6.5567e-05,7.4067e-05,8.2593e-05,9.1089e-05,9.9490e-05
Fe,9.9439e-06,1.5419e-05,2.0527e-05,2.5887e-05,2.8966e-05,3.1019e-05,3.6269e-05,4.1901e-05,5.2870e-05,6.3422e-05,7.3122e-05,8.3103e-05,9.3865e-05,1.0461e-04,1.1538e-04,1.2603e-04
Co,2.4867e-08,3.8559e-08,5.1331e-08,6.4735e-08,7.2435e-08,7.7568e-08,9.1029e-08,1.0743e-07,1.4565e-07,1.9348e-07,2.1634e-07,2.6444e-07,2.9594e-07,3.9108e-07,3.9283e-07,4.0820e-07
Ni,5.4071e-07,8.3845e-07,1.1162e-06,1.4076e-06,1.5751e-06,1.6867e-06,1.9719e-06,2.2764e-06,2.8676e-06,3.4474e-06,3.9946e-06,4.5770e-06,5.1787e-06,5.8956e-06,6.4650e-06,7.0391e-06
