element,1.0,1.2,1.5,1.8,1.9,2.0,2.2,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0
H,-5.6676e-03,-3.0011e-02,-5.9400e-02,-1.1417e-01,-1.4080e-01,-1.7225e-01,-2.1532e-01,-1.7496e-01,-1.0243e-01,-1.5454e-01,-2.3705e-01,-2.9232e-01,-3.6892e-01,-4.5549e-01,-5.5583e-01
He,1.3541e-03,6.5432e-03,1.1718e-02,2.2042e-02,2.6786e-02,3.2669e-02,3.9551e-02,3.1957e-02,1.9197e-02,3.1735e-02,5.0845e-02,6.6219e-02,8.5498e-02,1.0572e-01,1.2954e-01
Li,1.5477e-11,1.5447e-11,1.6957e-11,1.3831e-11,9.4717e-12,2.0721e-12,-8.9136e-12,-8.6349e-12,8.7367e-09,8.7899e-10,2.2996e-10,1.8983e-10,1.0333e-10,9.7450e-12,-1.4899e-11
Be,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
B,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
C,2.1580e-05,3.0860e-04,9.7590e-04,1.9491e-03,2.4743e-03,3.0091e-03,4.0431e-03,3.5069e-03,2.0002e-03,5.2849e-04,4.4938e-04,3.1387e-04,2.5009e-04,2.4808e-04,1.8517e-04
N,2.9330e-07,1.4003e-06,2.8997e-06,3.8824e-06,4.5667e-06,5.0961e-06,5.1601e-06,2.7412e-06,5.7874e-06,1.4158e-03,1.8892e-03,1.6057e-03,1.6349e-03,2.0305e-03,2.4142e-03
O,7.3138e-07,5.8206e-06,1.7207e-05,2.6839e-05,2.9518e-05,3.2038e-05,3.9063e-05,3.6252e-05,2.5946e-05,3.2214e-05,4.0579e-05,2.9714e-05,2.3913e-05,2.3207e-05,3.9851e-05
F,2.9171e-10,8.2047e-09,6.6084e-08,2.5420e-07,4.1559e-07,5.9179e-07,9.8263e-07,5.5816e-07,9.1311e-08,2.1719e-08,2.4388e-08,1.0645e-08,3.4209e-09,2.0780e-09,4.7531e-10
Ne,6.2745e-08,2.9330e-06,2.4969e-05,9.7125e-05,1.5390e-04,2.1669e-04,3.4500e-04,1.8794e-04,4.6644e-05,3.3908e-05,4.3020e-05,2.5240e-05,2.0674e-05,2.5330e-05,2.7231e-05
Na,1.4002e-09,1.1480e-08,1.9472e-07,1.5703e-06,2.9347e-06,4.6109e-06,7.0617e-06,2.4867e-06,6.4135e-07,7.5935e-07,8.4639e-07,5.3370e-07,4.5517e-07,5.5026e-07,5.4678e-07
Mg,8.6191e-10,7.1560e-09,1.0174e-07,7.5124e-07,1.6234e-06,3.0918e-06,8.9859e-06,1.2387e-05,5.6238e-06,5.2294e-06,6.8535e-06,4.5432e-06,5.0588e-06,9.0146e-06,1.3466e-05
Al,1.1953e-10,6.5878e-10,1.0984e-09,3.5479e-09,8.5485e-09,1.7644e-08,7.0870e-08,1.2129e-07,6.0459e-08,7.4163e-08,9.9285e-08,7.2948e-08,9.7141e-08,2.4573e-07,6.5552e-07
Si,2.8438e-10,7.2306e-10,1.4720e-09,3.4904e-09,5.0079e-09,8.3223e-09,3.3621e-08,1.0437e-07,8.2890e-08,9.3130e-08,1.4649e-07,9.8327e-08,1.0908e-07,2.1090e-07,3.8761e-07
P,8.2071e-11,1.4102e-10,5.1490e-10,1.2415e-09,8.1358e-10,4.5752e-10,8.7929e-10,2.4149e-09,2.9857e-09,4.5448e-09,7.9748e-09,6.5681e-09,8.6552e-09,1.8073e-08,2.9986e-08
