element,1.0,1.2,1.5,1.8,1.9,2.0,2.2,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0
H,-8.1416e-03,-1.4754e-02,-2.1744e-02,-3.7844e-02,-4.9401e-02,-5.1782e-02,-1.0009e-01,-1.4993e-01,-1.6007e-01,-9.4816e-02,-1.6309e-01,-2.6656e-01,-4.2862e-01,-4.2997e-01,-5.5393e-01
He,2.0441e-03,3.6685e-03,4.9639e-03,8.0261e-03,1.0008e-02,1.0210e-02,1.8705e-02,2.7961e-02,2.9441e-02,1.7300e-02,3.2403e-02,5.3984e-02,8.9833e-02,9.5041e-02,1.2578e-01
Li,-3.3384e-11,-7.1667e-11,-1.3919e-10,-1.9044e-10,-2.2966e-10,-2.4627e-10,-3.0083e-10,-4.0117e-10,-6.0029e-10,2.2599e-09,1.0678e-09,-8.3886e-10,-1.0874e-09,-1.2067e-09,-1.3352e-09
Be,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
B,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
C,-3.2485e-06,2.0061e-06,1.4273e-04,4.4068e-04,7.2120e-04,8.4231e-04,1.9065e-03,2.8163e-03,3.1520e-03,1.9304e-03,7.4106e-04,3.1953e-04,2.7692e-04,2.6908e-04,1.5781e-04
N,3.5536e-06,8.5457e-06,1.4576e-05,2.1900e-05,2.5546e-05,2.5801e-05,3.2196e-05,4.1669e-05,5.1081e-05,7.7400e-05,1.6461e-03,3.2231e-03,4.6360e-03,3.4114e-03,3.7765e-03
O,-2.9764e-07,-2.5916e-07,1.7978e-06,6.6555e-06,8.6967e-06,9.1892e-06,1.1968e-05,5.2660e-06,2.9861e-07,5.8560e-06,8.8719e-07,-5.5236e-05,-1.7202e-04,-1.9987e-04,-3.6488e-04
F,-1.5269e-11,1.0324e-10,2.5489e-09,1.2480e-08,3.1377e-08,4.2953e-08,2.1198e-07,4.5966e-07,5.9568e-07,1.6169e-07,1.1334e-07,2.8556e-08,1.1891e-08,4.0779e-09,-1.2304e-08
Ne,-8.0182e-09,6.5839e-08,1.5828e-06,6.3675e-06,1.4328e-05,1.8926e-05,8.1282e-05,1.6307e-04,1.6508e-04,5.0092e-05,5.0676e-05,9.0404e-05,1.2449e-04,6.3710e-05,5.1963e-05
Na,8.0057e-09,1.6438e-08,6.2243e-08,1.6972e-07,2.7185e-07,3.0966e-07,1.2069e-06,2.8193e-06,1.9416e-06,7.9417e-07,1.1700e-06,1.9837e-06,3.2568e-06,2.0176e-06,6.4391e-07
Mg,-4.2200e-11,-4.0911e-10,-1.4413e-09,5.3069e-09,2.7206e-08,4.8281e-08,5.6006e-07,1.8334e-06,5.9895e-06,5.4458e-06,9.5692e-06,1.6777e-05,3.4017e-05,1.8552e-05,2.3023e-05
Al,6.5096e-11,1.1101e-09,6.9237e-09,1.6967e-08,2.6795e-08,3.1890e-08,6.1522e-08,9.2648e-08,2.2246e-07,2.9569e-07,2.8809e-07,4.5167e-07,7.5707e-07,4.1078e-07,9.6000e-07
Si,-7.8625e-13,3.7902e-11,4.4834e-10,1.5878e-09,3.1284e-09,4.1657e-09,1.7559e-08,3.9697e-08,1.4770e-07,3.3304e-07,5.6414e-07,9.6982e-07,1.7383e-06,1.1776e-06,1.3933e-06
