element,20.,25.,30.,40.,100.,140.
H,8.7742e+00,1.0639e+01,1.1693e+01,1.4028e+01,2.6807e+01,3.1500e+01
He,1.4889e+00,2.0063e+00,2.3846e+00,2.9523e+00,7.7073e+00,9.4533e+00
Li,3.9800e-11,8.1109e-10,3.3714e-09,4.8874e-12,5.6670e-11,7.5686e-11
Be,5.3664e-21,4.1023e-18,3.4293e-19,1.0031e-18,7.1348e-22,0.0000e+00
B,9.8956e-17,1.2360e-13,9.7135e-15,8.6482e-14,1.5159e-13,1.7584e-13
C,1.5851e-02,2.2216e-02,2.6367e-02,3.1005e-02,7.3177e-02,8.8667e-02
N,3.8767e-06,4.2575e-05,2.9995e-06,2.8561e-07,1.1225e-05,1.5242e-05
O,1.2691e-01,1.4852e-01,2.4497e-01,3.9476e-01,1.1829e+00,1.4723e+00
F,1.1147e-10,8.8037e-11,4.1491e-10,6.1316e-09,9.3421e-08,1.2547e-07
Ne,3.7476e-02,1.4253e-02,2.5997e-02,1.3193e-02,7.2732e-02,9.4598e-02
Na,1.0033e-04,1.9207e-05,3.1992e-05,1.4241e-05,1.1840e-04,1.5665e-04
Mg,6.9015e-03,6.3721e-03,9.0553e-03,1.4072e-02,5.4905e-02,6.9899e-02
Al,5.5663e-05,3.3066e-05,5.7385e-05,2.7866e-04,6.6404e-04,8.0556e-04
Si,3.6768e-03,8.2539e-03,8.8419e-03,2.5921e-02,8.4273e-02,1.0570e-01
P,2.4755e-06,1.9060e-06,3.7271e-06,3.2584e-05,6.2161e-05,7.3023e-05
S,1.3443e-03,2.8733e-03,2.6703e-03,8.1875e-03,3.1919e-02,4.0633e-02
Cl,1.6372e-06,1.7047e-06,1.9254e-06,7.2854e-06,3.0314e-05,3.8771e-05
Ar,1.9230e-04,3.8226e-04,3.2111e-04,1.0074e-03,4.2189e-03,5.3981e-03
K,6.8376e-07,1.1224e-06,6.1610e-07,3.8761e-06,1.4432e-05,1.8308e-05
Ca,1.2220e-04,2.5690e-04,2.0977e-04,7.1898e-04,2.8164e-03,3.5866e-03
Sc,4.1031e-09,4.8907e-09,1.5447e-09,1.3946e-08,5.1484e-08,6.5269e-08
Ti,3.6826e-06,3.2108e-06,6.5531e-06,8.0756e-06,3.0127e-05,3.8224e-05
V,4.7514e-07,3.6443e-07,7.2824e-07,6.8214e-07,5.1071e-07,4.4775e-07
Cr,1.3613e-05,2.5145e-05,3.1179e-05,5.5260e-05,1.7566e-04,2.1987e-04
Mn,1.4943e-06,3.6651e-06,4.4858e-06,6.6947e-06,1.7939e-05,2.2067e-05
Fe,1.5160e-03,1.7766e-03,2.9297e-03,4.7005e-03,1.4160e-02,1.7633e-02
Co,6.2624e-06,4.0361e-06,8.7946e-06,8.8037e-06,6.7266e-06,5.9639e-06
Ni,6.6639e-05,5.9471e-05,1.1574e-04,1.6693e-04,4.6375e-04,5.7275e-04
Cu,1.9812e-07,1.3921e-07,2.9350e-07,3.5591e-07,7.5764e-07,9.0517e-07
Zn,6.0164e-06,4.1619e-06,9.2191e-06,1.0868e-05,3.2668e-05,4.0673e-05
Ga,2.5660e-10,3.0555e-10,5.9089e-10,1.2999e-09,1.0103e-08,1.3336e-08
Ge,3.4520e-10,2.0578e-10,4.2208e-10,5.3836e-10,1.9147e-09,2.4205e-09
