element,W7,W70,WDD1,WDD2,WDD3,CDD1,CDD2
C,4.03e-03,4.23e-03,4.52e-04,7.49e-04,1.38e-03,8.28e-04,4.23e-04
N,8.29e-08,2.99e-08,2.04e-05,1.92e-05,1.30e-05,6.49e-06,6.47e-06
O,8.94e-03,8.31e-03,5.51e-03,4.11e-03,3.49e-03,5.84e-03,3.64e-03
F,2.98e-11,7.21e-12,8.95e-11,2.37e-11,1.21e-11,3.07e-11,2.23e-11
Ne,2.15e-04,1.15e-04,7.19e-05,5.03e-05,6.03e-05,7.82e-05,3.99e-05
Na,2.75e-06,6.13e-07,3.81e-06,1.13e-06,1.31e-06,2.22e-06,1.52e-06
Mg,3.57e-04,6.58e-04,3.20e-04,1.88e-04,1.11e-04,3.26e-04,1.77e-04
Al,3.65e-05,4.19e-06,1.62e-05,9.15e-06,5.22e-06,1.65e-05,8.70e-06
Si,5.59e-03,5.08e-03,9.77e-03,7.39e-03,5.66e-03,9.95e-03,7.10e-03
P,1.15e-05,2.94e-06,7.68e-06,5.16e-06,3.45e-06,7.74e-06,4.90e-06
S,2.71e-03,2.86e-03,5.09e-03,3.88e-03,2.98e-03,5.18e-03,3.72e-03
Cl,4.91e-06,4.53e-07,3.45e-06,2.63e-06,1.99e-06,3.35e-06,2.44e-06
Ar,4.33e-04,5.31e-04,8.96e-04,6.95e-04,5.39e-04,9.15e-04,6.74e-04
K,2.00e-06,5.46e-08,1.87e-06,1.56e-06,1.25e-06,1.77e-06,1.47e-06
Ca,2.98e-04,4.53e-04,7.76e-04,6.09e-04,4.72e-04,7.96e-04,5.96e-04
Sc,4.91e-09,8.56e-10,5.53e-09,4.64e-09,3.91e-09,5.49e-09,4.49e-09
Ti,7.06e-06,8.68e-06,2.32e-05,2.09e-05,1.89e-05,1.70e-05,1.55e-05
V,1.47e-06,8.37e-07,2.61e-06,2.27e-06,2.00e-06,2.18e-06,2.14e-06
Cr,1.62e-04,1.77e-04,3.93e-04,3.26e-04,2.75e-04,3.61e-04,3.16e-04
Mn,1.61e-04,1.21e-04,1.54e-04,1.28e-04,1.12e-04,1.47e-04,1.23e-04
Fe,1.34e-02,1.39e-02,1.20e-02,1.42e-02,1.56e-02,1.16e-02,1.49e-02
Co,1.76e-05,1.64e-05,6.69e-06,1.06e-05,1.31e-05,4.93e-06,1.08e-05
Ni,2.16e-03,1.72e-03,6.53e-04,1.00e-03,1.24e-03,6.01e-04,1.05e-03
Cu,4.73e-08,6.04e-08,5.49e-08,1.09e-07,1.46e-07,1.15e-08,9.46e-08
Zn,4.33e-07,1.19e-06,3.96e-07,1.47e-06,2.49e-06,7.23e-08,1.55e-06
