element,11.0,13.0,15.0,18.0,20.0,25.0,30.0,40.0,100.0,140.0
H,5.8042e+00,6.5948e+00,7.5791e+00,8.4311e+00,8.7742e+00,1.0639e+01,1.1693e+01,1.4028e+01,2.6807e+01,3.1500e+01
He,8.5691e-01,1.0034e+00,1.1002e+00,1.3555e+00,1.4841e+00,2.0068e+00,2.3805e+00,2.9733e+00,7.6975e+00,9.4323e+00
Li,8.4650e-11,3.1067e-11,4.2033e-11,1.0487e-11,3.9801e-11,8.1106e-10,3.3714e-09,5.3696e-12,5.9357e-11,7.9181e-11
Be,3.6857e-24,1.9706e-21,3.5726e-23,1.1709e-23,4.9841e-24,1.3781e-18,1.3993e-21,5.9191e-21,4.9454e-19,6.7398e-19
B,2.5425e-16,2.6733e-17,2.9980e-17,6.4898e-17,5.9656e-18,8.6247e-17,2.9708e-16,2.7957e-15,6.7878e-11,9.2800e-11
C,4.6052e-03,6.1722e-03,1.4301e-02,1.8208e-02,1.7546e-02,2.4464e-02,2.8122e-02,3.5725e-02,8.9925e-02,1.0983e-01
N,1.4992e-04,1.3088e-04,1.3272e-04,1.3511e-05,3.8740e-06,4.2239e-05,1.1810e-07,8.4039e-08,1.2387e-05,1.6906e-05
O,7.0901e-03,2.8102e-02,4.8295e-02,8.6175e-02,1.3158e-01,1.7444e-01,3.0075e-01,5.2388e-01,1.4148e+00,1.7420e+00
F,8.4768e-10,6.1584e-12,1.0377e-10,4.1629e-10,8.5500e-11,9.0005e-11,4.7046e-11,1.2536e-11,1.2466e-08,1.7039e-08
Ne,1.0893e-03,7.6433e-04,1.6328e-02,2.4695e-02,4.5610e-02,2.6652e-02,4.2542e-02,1.5363e-02,9.8971e-02,1.2967e-01
Na,5.9491e-07,6.2648e-06,1.0639e-04,9.0352e-05,1.2619e-04,4.4635e-05,6.1561e-05,8.0117e-06,2.1686e-04,2.9355e-04
Mg,1.1751e-03,3.6005e-03,2.8694e-03,6.5945e-03,6.2747e-03,4.9919e-03,9.4511e-03,1.9933e-02,7.0976e-02,8.9721e-02
Al,2.6869e-05,1.3987e-04,5.0715e-05,1.1637e-04,5.0619e-05,2.9925e-05,9.7281e-05,5.4385e-04,1.1009e-03,1.3054e-03
Si,7.3938e-04,2.9440e-03,2.6290e-03,4.1767e-03,3.5592e-03,1.2543e-02,8.8824e-03,3.6825e-02,9.5111e-02,1.1651e-01
P,1.5787e-06,1.5746e-05,1.8156e-06,4.2477e-06,2.5824e-06,2.7325e-06,3.7735e-06,5.1758e-05,8.6297e-05,9.8981e-05
S,2.4826e-04,7.5056e-04,1.0094e-03,1.2819e-03,1.6805e-03,5.8020e-03,3.6219e-03,1.1716e-02,3.9550e-02,4.9770e-02
Cl,1.3074e-07,1.6489e-06,5.7588e-07,1.0018e-06,3.0085e-06,3.2002e-06,1.0716e-06,8.7682e-06,1.7107e-05,2.0169e-05
Ar,4.1090e-05,9.1459e-05,1.4836e-04,1.6195e-04,2.7873e-04,8.7056e-04,5.4672e-04,1.3829e-03,5.0621e-03,6.4132e-03
K,5.3597e-08,1.3742e-07,2.2129e-07,5.3665e-07,1.3606e-06,2.1220e-06,4.1719e-07,3.6998e-06,6.7373e-06,7.8528e-06
Ca,3.4855e-05,7.3357e-05,1.1075e-04,1.1032e-04,1.5607e-04,6.2035e-04,4.3404e-04,9.3339e-04,3.7213e-03,4.7450e-03
Sc,4.0802e-10,4.7098e-10,8.9582e-10,1.2308e-09,5.6738e-09,1.3696e-08,3.3558e-09,1.2919e-08,3.1549e-08,3.8391e-08
Ti,4.4035e-07,1.6897e-06,1.9562e-06,1.8566e-06,2.1459e-06,3.4509e-06,3.9531e-06,5.5850e-06,8.5544e-06,9.6448e-06
V,1.9884e-08,3.2437e-07,2.1200e-07,2.4228e-07,2.1622e-07,1.7674e-07,2.0757e-07,3.4468e-07,6.1079e-07,7.0851e-07
Cr,6.6331e-06,1.8061e-05,2.2453e-05,2.3437e-05,2.8214e-05,5.7040e-05,6.4215e-05,8.4409e-05,1.0404e-04,1.1125e-04
Mn,9.9349e-07,2.4155e-06,3.3722e-06,3.1620e-06,4.1035e-06,7.8238e-06,9.3773e-06,1.3000e-05,2.5596e-05,3.0222e-05
Fe,1.8698e-04,1.2810e-03,1.2928e-03,1.2915e-03,1.2916e-03,1.3199e-03,1.3343e-03,1.4346e-03,1.8751e-03,2.0369e-03
Co,3.6239e-08,2.9768e-06,2.2364e-06,2.7292e-06,2.5347e-06,2.6539e-07,4.1915e-08,3.1776e-08,5.1715e-08,5.9037e-08
Ni,3.5454e-06,4.2959e-05,3.4819e-05,3.3346e-05,2.9263e-05,7.5362e-06,6.6534e-06,9.9656e-06,4.3142e-05,5.5325e-05
Cu,4.4584e-10,8.0886e-08,5.9952e-08,6.4659e-08,5.6751e-08,2.0757e-09,3.7796e-12,3.2964e-13,1.8768e-13,1.3555e-13
Zn,1.1209e-08,1.9642e-06,1.9172e-06,1.4932e-06,1.3029e-06,3.9993e-08,4.8055e-12,6.9344e-13,2.8528e-13,1.3540e-13
Ga,4.3402e-13,1.1323e-10,8.1432e-11,8.8416e-11,7.1406e-11,1.2704e-12,7.6687e-15,8.0881e-17,1.1823e-14,1.6135e-14
Ge,6.1360e-12,1.2845e-10,9.3863e-11,6.8612e-11,5.6171e-11,1.0492e-13,4.4520e-14,2.7646e-14,1.4552e-13,1.8881e-13
