element,13.0,15.0,18.0,20.0,25.0,30.0,40.0
H,6.3742e+00,7.1135e+00,7.9531e+00,8.9473e+00,1.0165e+01,1.0136e+01,1.0290e+01
He,1.0089e+00,1.2371e+00,1.2639e+00,1.7585e+00,2.1194e+00,1.9801e+00,2.0291e+00
Li,4.5622e-16,1.0293e-14,7.0023e-12,2.2226e-13,1.4567e-14,1.1443e-13,6.7263e-13
Be,1.1893e-17,1.1969e-17,1.0871e-19,6.1176e-17,5.4254e-25,4.2039e-17,6.6674e-23
B,1.3009e-11,1.3015e-11,2.8814e-13,4.1874e-09,1.5730e-11,1.5473e-11,3.2000e-12
C,7.3338e-03,7.3570e-03,1.3216e-02,8.1391e-03,1.1054e-02,1.5154e-02,3.8222e-02
N,6.4903e-04,9.2501e-04,1.0191e-03,1.3179e-03,2.2552e-03,1.4323e-03,1.8541e-03
O,2.4196e-02,1.8324e-02,9.6644e-02,6.2177e-02,1.3759e-01,2.9928e-01,4.9763e-01
F,1.0405e-07,1.1231e-07,7.2889e-07,2.8220e-07,4.4742e-06,6.0947e-07,5.4784e-08
Ne,6.6429e-03,6.2646e-03,7.1827e-03,1.3970e-02,4.1216e-02,4.7159e-02,9.4087e-02
Na,6.5117e-05,3.5605e-05,1.8889e-05,1.7690e-04,2.7171e-04,6.1226e-04,1.1337e-03
Mg,1.9282e-03,3.2591e-03,4.8382e-03,4.1829e-03,1.0202e-02,9.6455e-03,1.6784e-02
Al,8.1719e-05,1.2245e-04,1.9345e-04,1.9012e-04,4.1596e-04,6.2407e-04,1.1259e-03
Si,2.2210e-03,3.7555e-03,7.8436e-03,4.5170e-03,4.3538e-03,1.4390e-02,1.9056e-02
P,4.8474e-06,8.8432e-06,1.5554e-05,1.2472e-05,1.2460e-05,3.2823e-05,4.7774e-05
S,8.5146e-04,1.1084e-03,3.7234e-03,1.6415e-03,1.1127e-03,5.9996e-03,7.1395e-03
Cl,1.0333e-06,1.9340e-06,2.3579e-06,2.1134e-06,2.3332e-06,5.6203e-06,7.5189e-06
Ar,1.2946e-04,1.3276e-04,6.1612e-04,2.3004e-04,1.3844e-04,8.8328e-04,9.9575e-04
K,5.0264e-07,8.8057e-07,1.1969e-06,8.7717e-07,7.6024e-07,2.9425e-06,2.8776e-06
Ca,9.8420e-05,7.7783e-05,5.0042e-04,1.6306e-04,9.5027e-05,6.4792e-04,7.0757e-04
Sc,4.8078e-09,5.5078e-09,9.7347e-09,8.0184e-09,1.1779e-08,2.4313e-08,3.6464e-08
Ti,2.0129e-06,1.8175e-06,5.5594e-06,2.6067e-06,2.2404e-06,5.5164e-06,6.4448e-06
V,2.5678e-07,1.8747e-07,3.0780e-07,1.5732e-07,2.7618e-07,3.4786e-07,4.3407e-07
Cr,2.2911e-05,2.0210e-05,8.0462e-05,3.4484e-05,2.5846e-05,7.8174e-05,8.6238e-05
Mn,3.6429e-06,3.1045e-06,1.3101e-05,5.9869e-06,4.2456e-06,1.3845e-05,1.5232e-05
Fe,1.3385e-03,1.3469e-03,1.4131e-03,1.3877e-03,1.3812e-03,1.4801e-03,1.5287e-03
Co,3.3224e-06,2.2185e-06,6.0653e-07,1.0520e-06,3.6780e-06,2.1775e-06,3.2375e-06
Ni,4.0312e-05,3.7128e-05,1.2954e-05,3.2768e-05,4.3698e-05,2.3464e-05,3.3699e-05
Cu,2.2516e-07,1.0847e-07,4.1994e-07,3.7080e-07,1.1664e-06,1.8973e-06,3.8848e-06
Zn,1.9444e-06,1.9111e-06,8.7135e-07,1.4096e-06,3.4775e-06,4.1079e-06,8.7218e-06
Ga,1.1629e-08,5.4178e-09,6.8936e-08,3.8920e-08,1.4746e-07,4.1952e-07,8.9920e-07
Ge,3.4245e-08,1.5031e-08,2.5450e-07,1.3162e-07,5.7349e-07,2.6466e-06,5.4593e-06
