element,13.0,15.0,18.0,20.0,25.0,30.0,40.0
H,6.2798e+00,6.9730e+00,7.7692e+00,8.5110e+00,8.0767e+00,9.5391e+00,7.3878e+00
He,1.0371e+00,1.2696e+00,1.3779e+00,1.7294e+00,1.7822e+00,2.0274e+00,1.6619e+00
Li,3.4629e-12,4.9503e-14,4.0039e-12,3.9208e-13,2.4003e-14,9.1801e-14,4.1811e-13
Be,6.7932e-18,6.8881e-18,4.2386e-19,3.4829e-17,1.4856e-20,2.3933e-17,4.1324e-23
B,2.9000e-11,3.6813e-11,3.1374e-11,2.4159e-09,1.7367e-11,4.2554e-11,1.8261e-12
C,8.0588e-03,6.5619e-03,1.2455e-02,1.3472e-02,1.1801e-02,1.7670e-02,4.3157e-02
N,1.8482e-03,2.4199e-03,2.6141e-03,2.9688e-03,3.0117e-03,3.9629e-03,2.8432e-03
O,1.9753e-02,1.4865e-02,7.6060e-02,6.3887e-02,1.5936e-01,2.5715e-01,4.8103e-01
F,3.8095e-07,4.3600e-07,5.1637e-07,1.5315e-06,8.0632e-06,5.2398e-07,1.5041e-07
Ne,4.6228e-03,4.3334e-03,7.4395e-03,1.6644e-02,4.5470e-02,4.7441e-02,1.0143e-01
Na,5.4396e-05,4.0166e-05,6.5643e-05,4.1560e-04,7.0861e-04,9.9809e-04,2.0993e-03
Mg,1.6296e-03,2.5894e-03,4.8161e-03,4.0610e-03,1.0350e-02,9.8671e-03,1.7595e-02
Al,7.0396e-05,1.0867e-04,2.7003e-04,2.6618e-04,7.4674e-04,8.9915e-04,1.9646e-03
Si,2.4601e-03,3.4996e-03,6.2199e-03,3.6098e-03,7.9286e-03,1.2149e-02,1.4849e-02
P,7.9674e-06,1.4845e-05,3.3048e-05,1.6236e-05,3.2397e-05,5.4258e-05,7.6168e-05
S,1.0103e-03,1.1206e-03,2.6492e-03,1.3370e-03,3.1289e-03,4.9276e-03,5.5819e-03
Cl,2.3510e-06,3.0719e-06,4.1539e-06,3.7183e-06,9.3057e-06,9.1248e-06,1.4243e-05
Ar,1.5671e-04,1.4161e-04,4.2516e-04,1.9443e-04,4.4621e-04,7.3749e-04,8.0261e-04
K,8.9097e-07,1.3361e-06,1.6117e-06,1.4115e-06,3.8528e-06,3.3076e-06,3.3749e-06
Ca,1.0957e-04,8.8066e-05,3.3460e-04,1.3387e-04,2.6842e-04,5.3859e-04,5.7147e-04
Sc,9.7162e-09,1.2036e-08,1.7608e-08,1.7006e-08,4.1996e-08,3.8487e-08,7.9591e-08
Ti,2.0334e-06,2.1740e-06,4.5769e-06,2.7601e-06,3.6444e-06,5.9160e-06,6.6604e-06
V,2.4587e-07,1.9103e-07,2.7211e-07,2.0231e-07,2.5898e-07,4.1166e-07,4.3805e-07
Cr,1.9165e-05,2.3161e-05,5.7632e-05,2.9605e-05,4.5146e-05,7.8967e-05,8.3685e-05
Mn,4.2742e-06,4.7433e-06,1.0628e-05,6.2273e-06,5.1364e-06,1.6028e-05,1.5157e-05
Fe,1.4346e-03,1.4571e-03,1.5197e-03,1.5110e-03,1.4708e-03,1.6426e-03,1.5613e-03
Co,2.9200e-06,1.9200e-06,1.6736e-06,2.7324e-06,5.0180e-06,5.1763e-06,6.9125e-06
Ni,5.7156e-05,4.5215e-05,4.6864e-05,5.5174e-05,4.8296e-05,3.2037e-05,6.0218e-05
Cu,3.2105e-07,1.9806e-07,4.1978e-07,1.3747e-06,4.6176e-06,1.7513e-06,1.1198e-05
Zn,1.9849e-06,1.7224e-06,1.1140e-06,2.4910e-06,8.0638e-06,2.6652e-06,2.4638e-05
Ga,2.6057e-08,1.3184e-08,5.1368e-08,9.4916e-08,6.4729e-07,2.5413e-07,2.4045e-06
Ge,7.0345e-08,3.6588e-08,2.0618e-07,3.6037e-07,3.5918e-06,1.8384e-06,1.7310e-05
